date,State/UT,lockdown_type
06/03/20,Delhi,Local 
10/03/20,Kerala,Local 
17/03/20,Tamil Nadu,Local 
13/03/20,Punjab,Local 
15/03/20,Uttar Pardesh,Local 
15/03/20,Haryana,Local 
15/03/20,Chandigarh,Local 
14/03/20,"Telengana	",Local 
13/03/20,Rajasthan,Local 
11/03/20,Ladhak,Local 
11/03/20,Jammu and Kashmir,Local 
13/03/20,Karnataka,Local 
18/03/20,Andhra Pradesh,Local 
15/03/20,Maharashtra,Local 
13/03/20,Uttarakhand,Local 
16/03/20,Odisha,Local 
13/03/20,Chhattisgarh,Local 
17/03/20,Puducherry,Local 
14/03/20,West Bengal,Local 
15/03/20,Gujarat,Local 
14/03/20,Himachal Pradesh,Local 
13/03/20,Madhya Pradesh,Local 