,states,DTV18,FTV18
0,Andaman and Nicobar Islands,498279.0,15242.0
1,Andhra Pradesh,194767874.0,281083.0
2,Arunachal Pradesh,512436.0,7653.0
3,Assam,5856282.0,36846.0
4,Bihar,33621613.0,1087971.0
5,Chandigarh,1538796.0,39681.0
6,Chhattisgarh,19329501.0,14399.0
7,Dadra & Nagar Haveli,609435.0,1608.0
8,Daman & Diu,898824.0,5694.0
9,Delhi,29114423.0,2740502.0
13,Goa,7081559.0,933841.0
15,Gujarat,54369873.0,513113.0
19,Haryana,4888952.0,73977.0
23,Himachal Pradesh,16093935.0,356568.0
27,Jammu and Kashmir,17076315.0,139520.0
28,Ladakh,17076315.0,139520.0
31,Jharkhand,35408822.0,175801.0
35,Karnataka,214306456.0,543716.0
39,Kerala,15604661.0,1096407.0
41,Lakshadweep,10435.0,1313.0
45,Madhya Pradesh,83969799.0,375476.0
49,Maharashtra,119191539.0,5078514.0
53,Manipur,176109.0,6391.0
57,Meghalaya,1198340.0,18114.0
61,Mizoram,76551.0,967.0
65,Nagaland,101588.0,5010.0
69,Odisha,15208540.0,110818.0
73,Puducherry,1616660.0,141133.0
77,Punjab,44595061.0,1200969.0
79,Rajasthan,50235643.0,1754348.0
83,Sikkim,1426127.0,71172.0
87,Tamil Nadu,385909376.0,6074345.0
91,Telengana,92878329.0,318154.0
95,Tripura,414388.0,102861.0
97,Uttar Pradesh,285079848.0,3780752.0
101,Uttarakhand,35609650.0,151320.0
105,West Bengal,85657365.0,1617105.0